"","Date","Age","Treatment","PlateID","Well","Family","Family_EBV","Count","AUC","AUC.cor","AUC.cor.norm"
"76",20260320,"72hpf","32C","plate_1_high","G10",5,"High",91,1432.7,1107.85,12.1741758241758
"77",20260320,"72hpf","32C","plate_1_high","G11",8,"High",69,1503.88333333333,1179.03333333333,17.0874396135266
"78",20260320,"72hpf","32C","plate_1_high","G12",3,"High",34,2166.43333333333,1841.58333333333,54.1642156862745
"79",20260320,"72hpf","26C","plate_1_low","A1",54,"Low",4,357.791666666667,1.24621212121207,0.311553030303017
"80",20260320,"72hpf","26C","plate_1_low","A4",57,"Low",9,399.458333333333,42.9128787878788,4.76809764309764
"81",20260320,"72hpf","26C","plate_1_low","A10",5,"High",1,426.875,70.3295454545454,70.3295454545454
"82",20260320,"72hpf","26C","plate_1_low","A11",8,"High",1,411.125,54.5795454545455,54.5795454545455
"83",20260320,"72hpf","26C","plate_1_low","A12",3,"High",2,361.183333333333,4.63787878787878,2.31893939393939
"84",20260320,"72hpf","26C","plate_1_low","B4",57,"Low",22,602.116666666667,245.571212121212,11.1623278236915
"85",20260320,"72hpf","26C","plate_1_low","B10",5,"High",1,414.05,57.5045454545455,57.5045454545455
"86",20260320,"72hpf","26C","plate_1_low","C4",57,"Low",21,653.35,296.804545454545,14.1335497835498
"87",20260320,"72hpf","26C","plate_1_low","C5",53,"Low",10,548.208333333333,191.662878787879,19.1662878787879
"88",20260320,"72hpf","26C","plate_1_low","C6",52,"Low",3,368.983333333333,12.4378787878787,4.14595959595958
"89",20260320,"72hpf","26C","plate_1_low","C8",4,"High",7,415.458333333333,58.9128787878788,8.41612554112554
"90",20260320,"72hpf","26C","plate_1_low","C9",6,"High",7,377.275,20.7295454545455,2.96136363636365
"91",20260320,"72hpf","26C","plate_1_low","C10",5,"High",9,498.866666666667,142.321212121212,15.813468013468
"92",20260320,"72hpf","26C","plate_1_low","D4",57,"Low",50,750.775,394.229545454545,7.88459090909091
