"","Family","PlateID","Well","Note","obs_volume","Date","Treatment","Age","Type","Count","AUC","blanks_meanAUC","AUC_cor","AUC_cor_norm","Family_EBV","yearclass","sire","dam","sire_id","dam_id","ebv_mpv","sire_pop","dam_pop"
"37",1,"plate_2_30","A1","","",20260401,"30C","360hpf","Sample",79,19459.4,1763.86875,17695.53125,223.994066455696,"High",2026,"2023-64","2024-32","G010850","G010815",0.266092564922451,"hybrid","midori"
"38",1,"plate_3_34","C1","","",20260401,"34C","360hpf","Sample",22,5902.04166666667,1941.35138888889,3960.69027777778,180.031376262626,"High",2026,"2023-64","2024-32","G010850","G010815",0.266092564922451,"hybrid","midori"
"39",1,"plate_3_34","B1","","",20260401,"34C","360hpf","Sample",4,2720.725,1941.35138888889,779.373611111111,194.843402777778,"High",2026,"2023-64","2024-32","G010850","G010815",0.266092564922451,"hybrid","midori"
"40",1,"plate_1_26","G1","","",20260401,"26C","360hpf","Sample",17,4718.975,1689.69652777778,3029.27847222222,178.192851307189,"High",2026,"2023-64","2024-32","G010850","G010815",0.266092564922451,"hybrid","midori"
"41",1,"plate_3_34","G1","","",20260401,"34C","360hpf","Sample",7,2862.54166666667,1941.35138888889,921.190277777778,131.598611111111,"High",2026,"2023-64","2024-32","G010850","G010815",0.266092564922451,"hybrid","midori"
"42",1,"plate_4_38","D1","","",20260401,"38C","360hpf","Sample",71,16204.2666666667,1920.40069444444,14283.8659722222,201.181210876369,"High",2026,"2023-64","2024-32","G010850","G010815",0.266092564922451,"hybrid","midori"
"43",1,"plate_3_34","F1","","",20260401,"34C","360hpf","Sample",33,8969.425,1941.35138888889,7028.07361111111,212.971927609428,"High",2026,"2023-64","2024-32","G010850","G010815",0.266092564922451,"hybrid","midori"
"44",1,"plate_3_34","A1","","",20260401,"34C","360hpf","Sample",11,4806.75833333333,1941.35138888889,2865.40694444444,260.49154040404,"High",2026,"2023-64","2024-32","G010850","G010815",0.266092564922451,"hybrid","midori"
"45",1,"plate_4_38","C1","","",20260401,"38C","360hpf","Sample",19,5247.01666666667,1920.40069444444,3326.61597222222,175.085051169591,"High",2026,"2023-64","2024-32","G010850","G010815",0.266092564922451,"hybrid","midori"
"46",1,"plate_4_38","G1","","",20260401,"38C","360hpf","Sample",5,2372.275,1920.40069444444,451.874305555556,90.3748611111111,"High",2026,"2023-64","2024-32","G010850","G010815",0.266092564922451,"hybrid","midori"
"47",1,"plate_4_38","B1","","",20260401,"38C","360hpf","Sample",13,3835.325,1920.40069444444,1914.92430555555,147.30186965812,"High",2026,"2023-64","2024-32","G010850","G010815",0.266092564922451,"hybrid","midori"
"48",1,"plate_2_30","B1","","",20260401,"30C","360hpf","Sample",16,4346.525,1763.86875,2582.65625,161.416015625,"High",2026,"2023-64","2024-32","G010850","G010815",0.266092564922451,"hybrid","midori"
"49",1,"plate_4_38","F1","","",20260401,"38C","360hpf","Sample",9,2911.85,1920.40069444444,991.449305555556,110.161033950617,"High",2026,"2023-64","2024-32","G010850","G010815",0.266092564922451,"hybrid","midori"
"50",1,"plate_4_38","A1","","",20260401,"38C","360hpf","Sample",60,12811.2833333333,1920.40069444444,10890.8826388889,181.514710648148,"High",2026,"2023-64","2024-32","G010850","G010815",0.266092564922451,"hybrid","midori"
"51",1,"plate_3_34","B1","","",20260401,"34C","360hpf","Sample",4,2720.725,1941.35138888889,779.373611111111,194.843402777778,"High",2026,"2023-64","2024-32","G010850","G010815",0.266092564922451,"hybrid","midori"
"52",1,"plate_2_30","E1","","",20260401,"30C","360hpf","Sample",14,4562.1,1763.86875,2798.23125,199.873660714286,"High",2026,"2023-64","2024-32","G010850","G010815",0.266092564922451,"hybrid","midori"
"53",1,"plate_4_38","E1","","",20260401,"38C","360hpf","Sample",31,7443.71666666667,1920.40069444444,5523.31597222222,178.17148297491,"High",2026,"2023-64","2024-32","G010850","G010815",0.266092564922451,"hybrid","midori"
"54",1,"plate_3_34","E1","","",20260401,"34C","360hpf","Sample",16,5639.51666666667,1941.35138888889,3698.16527777778,231.135329861111,"High",2026,"2023-64","2024-32","G010850","G010815",0.266092564922451,"hybrid","midori"
"55",1,"plate_2_30","D1","","",20260401,"30C","360hpf","Sample",51,13317.125,1763.86875,11553.25625,226.53443627451,"High",2026,"2023-64","2024-32","G010850","G010815",0.266092564922451,"hybrid","midori"
"56",1,"plate_2_30","G1","","",20260401,"30C","360hpf","Sample",11,3543.01666666667,1763.86875,1779.14791666667,161.74071969697,"High",2026,"2023-64","2024-32","G010850","G010815",0.266092564922451,"hybrid","midori"
"57",3,"plate_1_26","E2","","",20260401,"26C","360hpf","Sample",13,2708.2,1689.69652777778,1018.50347222222,78.346420940171,"High",2026,"2023-56","2024-32","G010852","G010827",0.250798343566823,"midori","midori"
"58",3,"plate_1_26","C2","","",20260401,"26C","360hpf","Sample",18,2854.75,1689.69652777778,1165.05347222222,64.7251929012345,"High",2026,"2023-56","2024-32","G010852","G010827",0.250798343566823,"midori","midori"
"59",3,"plate_1_26","D2","","",20260401,"26C","360hpf","Sample",8,2576.50833333333,1689.69652777778,886.811805555555,110.851475694444,"High",2026,"2023-56","2024-32","G010852","G010827",0.250798343566823,"midori","midori"
"60",3,"plate_1_26","C2","","",20260401,"26C","360hpf","Sample",18,2854.75,1689.69652777778,1165.05347222222,64.7251929012345,"High",2026,"2023-56","2024-32","G010852","G010827",0.250798343566823,"midori","midori"
"61",3,"plate_1_26","E2","","",20260401,"26C","360hpf","Sample",13,2708.2,1689.69652777778,1018.50347222222,78.346420940171,"High",2026,"2023-56","2024-32","G010852","G010827",0.250798343566823,"midori","midori"
"62",3,"plate_1_26","A2","","",20260401,"26C","360hpf","Sample",5,2687.95,1689.69652777778,998.253472222222,199.650694444444,"High",2026,"2023-56","2024-32","G010852","G010827",0.250798343566823,"midori","midori"
"63",3,"plate_1_26","B2","","",20260401,"26C","360hpf","Sample",22,3425.69166666667,1689.69652777778,1735.99513888889,78.908869949495,"High",2026,"2023-56","2024-32","G010852","G010827",0.250798343566823,"midori","midori"
"64",3,"plate_1_26","B2","","",20260401,"26C","360hpf","Sample",22,3425.69166666667,1689.69652777778,1735.99513888889,78.908869949495,"High",2026,"2023-56","2024-32","G010852","G010827",0.250798343566823,"midori","midori"
"65",3,"plate_2_30","A2","","",20260401,"30C","360hpf","Sample",12,3142.76666666667,1763.86875,1378.89791666667,114.908159722222,"High",2026,"2023-56","2024-32","G010852","G010827",0.250798343566823,"midori","midori"
"66",3,"plate_1_26","D2","","",20260401,"26C","360hpf","Sample",8,2576.50833333333,1689.69652777778,886.811805555555,110.851475694444,"High",2026,"2023-56","2024-32","G010852","G010827",0.250798343566823,"midori","midori"
"67",3,"plate_2_30","D2","","",20260401,"30C","360hpf","Sample",12,2171.71666666667,1763.86875,407.847916666667,33.9873263888889,"High",2026,"2023-56","2024-32","G010852","G010827",0.250798343566823,"midori","midori"
"68",3,"plate_1_26","F2","","",20260401,"26C","360hpf","Sample",10,2380.93333333333,1689.69652777778,691.236805555555,69.1236805555555,"High",2026,"2023-56","2024-32","G010852","G010827",0.250798343566823,"midori","midori"
"69",3,"plate_1_26","A2","","",20260401,"26C","360hpf","Sample",5,2687.95,1689.69652777778,998.253472222222,199.650694444444,"High",2026,"2023-56","2024-32","G010852","G010827",0.250798343566823,"midori","midori"
"70",3,"plate_3_34","A2","","",20260401,"34C","360hpf","Sample",22,5342.00833333333,1941.35138888889,3400.65694444444,154.575315656566,"High",2026,"2023-56","2024-32","G010852","G010827",0.250798343566823,"midori","midori"
"71",3,"plate_2_30","C2","","",20260401,"30C","360hpf","Sample",10,2925.825,1763.86875,1161.95625,116.195625,"High",2026,"2023-56","2024-32","G010852","G010827",0.250798343566823,"midori","midori"
"72",3,"plate_2_30","B2","","",20260401,"30C","360hpf","Sample",12,2600.54166666667,1763.86875,836.672916666667,69.7227430555556,"High",2026,"2023-56","2024-32","G010852","G010827",0.250798343566823,"midori","midori"
"73",3,"plate_2_30","B2","","",20260401,"30C","360hpf","Sample",12,2600.54166666667,1763.86875,836.672916666667,69.7227430555556,"High",2026,"2023-56","2024-32","G010852","G010827",0.250798343566823,"midori","midori"
"74",3,"plate_2_30","G2","","",20260401,"30C","360hpf","Sample",13,3456.93333333333,1763.86875,1693.06458333333,130.235737179487,"High",2026,"2023-56","2024-32","G010852","G010827",0.250798343566823,"midori","midori"
"75",3,"plate_2_30","A2","","",20260401,"30C","360hpf","Sample",12,3142.76666666667,1763.86875,1378.89791666667,114.908159722222,"High",2026,"2023-56","2024-32","G010852","G010827",0.250798343566823,"midori","midori"
"76",3,"plate_2_30","F2","","",20260401,"30C","360hpf","Sample",14,2627.85,1763.86875,863.98125,61.7129464285714,"High",2026,"2023-56","2024-32","G010852","G010827",0.250798343566823,"midori","midori"
"77",3,"plate_1_26","G2","","",20260401,"26C","360hpf","Sample",7,2811.38333333333,1689.69652777778,1121.68680555556,160.240972222222,"High",2026,"2023-56","2024-32","G010852","G010827",0.250798343566823,"midori","midori"
"78",3,"plate_1_26","G2","","",20260401,"26C","360hpf","Sample",7,2811.38333333333,1689.69652777778,1121.68680555556,160.240972222222,"High",2026,"2023-56","2024-32","G010852","G010827",0.250798343566823,"midori","midori"
"79",3,"plate_1_26","F2","","",20260401,"26C","360hpf","Sample",10,2380.93333333333,1689.69652777778,691.236805555555,69.1236805555555,"High",2026,"2023-56","2024-32","G010852","G010827",0.250798343566823,"midori","midori"
"80",3,"plate_3_34","C2","","",20260401,"34C","360hpf","Sample",15,3689.19166666667,1941.35138888889,1747.84027777778,116.522685185185,"High",2026,"2023-56","2024-32","G010852","G010827",0.250798343566823,"midori","midori"
"81",3,"plate_3_34","B2","","",20260401,"34C","360hpf","Sample",16,4872.25833333333,1941.35138888889,2930.90694444444,183.181684027778,"High",2026,"2023-56","2024-32","G010852","G010827",0.250798343566823,"midori","midori"
"82",3,"plate_2_30","C2","","",20260401,"30C","360hpf","Sample",10,2925.825,1763.86875,1161.95625,116.195625,"High",2026,"2023-56","2024-32","G010852","G010827",0.250798343566823,"midori","midori"
"83",3,"plate_3_34","B2","","",20260401,"34C","360hpf","Sample",16,4872.25833333333,1941.35138888889,2930.90694444444,183.181684027778,"High",2026,"2023-56","2024-32","G010852","G010827",0.250798343566823,"midori","midori"
"84",3,"plate_3_34","F2","","",20260401,"34C","360hpf","Sample",5,2726.01666666667,1941.35138888889,784.665277777778,156.933055555556,"High",2026,"2023-56","2024-32","G010852","G010827",0.250798343566823,"midori","midori"
"85",3,"plate_3_34","A2","","",20260401,"34C","360hpf","Sample",22,5342.00833333333,1941.35138888889,3400.65694444444,154.575315656566,"High",2026,"2023-56","2024-32","G010852","G010827",0.250798343566823,"midori","midori"
"86",3,"plate_2_30","G2","","",20260401,"30C","360hpf","Sample",13,3456.93333333333,1763.86875,1693.06458333333,130.235737179487,"High",2026,"2023-56","2024-32","G010852","G010827",0.250798343566823,"midori","midori"
"87",3,"plate_3_34","E2","","",20260401,"34C","360hpf","Sample",18,4071.35833333333,1941.35138888889,2130.00694444444,118.333719135802,"High",2026,"2023-56","2024-32","G010852","G010827",0.250798343566823,"midori","midori"
"88",3,"plate_2_30","F2","","",20260401,"30C","360hpf","Sample",14,2627.85,1763.86875,863.98125,61.7129464285714,"High",2026,"2023-56","2024-32","G010852","G010827",0.250798343566823,"midori","midori"
"89",3,"plate_3_34","D2","","",20260401,"34C","360hpf","Sample",9,2822.78333333333,1941.35138888889,881.431944444444,97.9368827160493,"High",2026,"2023-56","2024-32","G010852","G010827",0.250798343566823,"midori","midori"
"90",3,"plate_3_34","D2","","",20260401,"34C","360hpf","Sample",9,2822.78333333333,1941.35138888889,881.431944444444,97.9368827160493,"High",2026,"2023-56","2024-32","G010852","G010827",0.250798343566823,"midori","midori"
"91",3,"plate_2_30","E2","","",20260401,"30C","360hpf","Sample",9,2965.44166666667,1763.86875,1201.57291666667,133.508101851852,"High",2026,"2023-56","2024-32","G010852","G010827",0.250798343566823,"midori","midori"
