"","Plate_row","Plate_col","flourescence","filename","timepoint","plate","Well","time","Date","gain","PlateID"
"39","D","3","785","NIFA_Resazurin_30_T0_02072026_1104_g65","T0","NIFA_Resazurin_30_T0_02072026_1104_g65","D3",2026-07-02 11:04:00,20260702,65,"T0_30C_65g"
"40","D","4","864","NIFA_Resazurin_30_T0_02072026_1104_g65","T0","NIFA_Resazurin_30_T0_02072026_1104_g65","D4",2026-07-02 11:04:00,20260702,65,"T0_30C_65g"
"41","D","5","725","NIFA_Resazurin_30_T0_02072026_1104_g65","T0","NIFA_Resazurin_30_T0_02072026_1104_g65","D5",2026-07-02 11:04:00,20260702,65,"T0_30C_65g"
"42","D","6","863","NIFA_Resazurin_30_T0_02072026_1104_g65","T0","NIFA_Resazurin_30_T0_02072026_1104_g65","D6",2026-07-02 11:04:00,20260702,65,"T0_30C_65g"
"43","D","7","734","NIFA_Resazurin_30_T0_02072026_1104_g65","T0","NIFA_Resazurin_30_T0_02072026_1104_g65","D7",2026-07-02 11:04:00,20260702,65,"T0_30C_65g"
"44","D","8","751","NIFA_Resazurin_30_T0_02072026_1104_g65","T0","NIFA_Resazurin_30_T0_02072026_1104_g65","D8",2026-07-02 11:04:00,20260702,65,"T0_30C_65g"
"45","D","9","796","NIFA_Resazurin_30_T0_02072026_1104_g65","T0","NIFA_Resazurin_30_T0_02072026_1104_g65","D9",2026-07-02 11:04:00,20260702,65,"T0_30C_65g"
"46","D","10","892","NIFA_Resazurin_30_T0_02072026_1104_g65","T0","NIFA_Resazurin_30_T0_02072026_1104_g65","D10",2026-07-02 11:04:00,20260702,65,"T0_30C_65g"
"47","D","11","815","NIFA_Resazurin_30_T0_02072026_1104_g65","T0","NIFA_Resazurin_30_T0_02072026_1104_g65","D11",2026-07-02 11:04:00,20260702,65,"T0_30C_65g"
"48","D","12","818","NIFA_Resazurin_30_T0_02072026_1104_g65","T0","NIFA_Resazurin_30_T0_02072026_1104_g65","D12",2026-07-02 11:04:00,20260702,65,"T0_30C_65g"
"49","E","1","886","NIFA_Resazurin_30_T0_02072026_1104_g65","T0","NIFA_Resazurin_30_T0_02072026_1104_g65","E1",2026-07-02 11:04:00,20260702,65,"T0_30C_65g"
"50","E","2","859","NIFA_Resazurin_30_T0_02072026_1104_g65","T0","NIFA_Resazurin_30_T0_02072026_1104_g65","E2",2026-07-02 11:04:00,20260702,65,"T0_30C_65g"
"51","E","3","836","NIFA_Resazurin_30_T0_02072026_1104_g65","T0","NIFA_Resazurin_30_T0_02072026_1104_g65","E3",2026-07-02 11:04:00,20260702,65,"T0_30C_65g"
"52","E","4","920","NIFA_Resazurin_30_T0_02072026_1104_g65","T0","NIFA_Resazurin_30_T0_02072026_1104_g65","E4",2026-07-02 11:04:00,20260702,65,"T0_30C_65g"
"53","E","5","749","NIFA_Resazurin_30_T0_02072026_1104_g65","T0","NIFA_Resazurin_30_T0_02072026_1104_g65","E5",2026-07-02 11:04:00,20260702,65,"T0_30C_65g"
"54","E","6","841","NIFA_Resazurin_30_T0_02072026_1104_g65","T0","NIFA_Resazurin_30_T0_02072026_1104_g65","E6",2026-07-02 11:04:00,20260702,65,"T0_30C_65g"
"55","E","7","760","NIFA_Resazurin_30_T0_02072026_1104_g65","T0","NIFA_Resazurin_30_T0_02072026_1104_g65","E7",2026-07-02 11:04:00,20260702,65,"T0_30C_65g"
"56","E","8","719","NIFA_Resazurin_30_T0_02072026_1104_g65","T0","NIFA_Resazurin_30_T0_02072026_1104_g65","E8",2026-07-02 11:04:00,20260702,65,"T0_30C_65g"
"57","E","9","801","NIFA_Resazurin_30_T0_02072026_1104_g65","T0","NIFA_Resazurin_30_T0_02072026_1104_g65","E9",2026-07-02 11:04:00,20260702,65,"T0_30C_65g"
"58","E","10","790","NIFA_Resazurin_30_T0_02072026_1104_g65","T0","NIFA_Resazurin_30_T0_02072026_1104_g65","E10",2026-07-02 11:04:00,20260702,65,"T0_30C_65g"
"59","E","11","841","NIFA_Resazurin_30_T0_02072026_1104_g65","T0","NIFA_Resazurin_30_T0_02072026_1104_g65","E11",2026-07-02 11:04:00,20260702,65,"T0_30C_65g"
"60","E","12","858","NIFA_Resazurin_30_T0_02072026_1104_g65","T0","NIFA_Resazurin_30_T0_02072026_1104_g65","E12",2026-07-02 11:04:00,20260702,65,"T0_30C_65g"
"61","F","1","1029","NIFA_Resazurin_30_T0_02072026_1104_g65","T0","NIFA_Resazurin_30_T0_02072026_1104_g65","F1",2026-07-02 11:04:00,20260702,65,"T0_30C_65g"
"62","F","2","790","NIFA_Resazurin_30_T0_02072026_1104_g65","T0","NIFA_Resazurin_30_T0_02072026_1104_g65","F2",2026-07-02 11:04:00,20260702,65,"T0_30C_65g"
"63","F","3","855","NIFA_Resazurin_30_T0_02072026_1104_g65","T0","NIFA_Resazurin_30_T0_02072026_1104_g65","F3",2026-07-02 11:04:00,20260702,65,"T0_30C_65g"
"64","F","4","970","NIFA_Resazurin_30_T0_02072026_1104_g65","T0","NIFA_Resazurin_30_T0_02072026_1104_g65","F4",2026-07-02 11:04:00,20260702,65,"T0_30C_65g"
"65","F","5","787","NIFA_Resazurin_30_T0_02072026_1104_g65","T0","NIFA_Resazurin_30_T0_02072026_1104_g65","F5",2026-07-02 11:04:00,20260702,65,"T0_30C_65g"
"66","F","6","808","NIFA_Resazurin_30_T0_02072026_1104_g65","T0","NIFA_Resazurin_30_T0_02072026_1104_g65","F6",2026-07-02 11:04:00,20260702,65,"T0_30C_65g"
"67","F","7","780","NIFA_Resazurin_30_T0_02072026_1104_g65","T0","NIFA_Resazurin_30_T0_02072026_1104_g65","F7",2026-07-02 11:04:00,20260702,65,"T0_30C_65g"
"68","F","8","754","NIFA_Resazurin_30_T0_02072026_1104_g65","T0","NIFA_Resazurin_30_T0_02072026_1104_g65","F8",2026-07-02 11:04:00,20260702,65,"T0_30C_65g"
"69","F","9","808","NIFA_Resazurin_30_T0_02072026_1104_g65","T0","NIFA_Resazurin_30_T0_02072026_1104_g65","F9",2026-07-02 11:04:00,20260702,65,"T0_30C_65g"
"70","F","10","1012","NIFA_Resazurin_30_T0_02072026_1104_g65","T0","NIFA_Resazurin_30_T0_02072026_1104_g65","F10",2026-07-02 11:04:00,20260702,65,"T0_30C_65g"
"71","F","11","774","NIFA_Resazurin_30_T0_02072026_1104_g65","T0","NIFA_Resazurin_30_T0_02072026_1104_g65","F11",2026-07-02 11:04:00,20260702,65,"T0_30C_65g"
"72","F","12","792","NIFA_Resazurin_30_T0_02072026_1104_g65","T0","NIFA_Resazurin_30_T0_02072026_1104_g65","F12",2026-07-02 11:04:00,20260702,65,"T0_30C_65g"
"73","G","1","767","NIFA_Resazurin_30_T0_02072026_1104_g65","T0","NIFA_Resazurin_30_T0_02072026_1104_g65","G1",2026-07-02 11:04:00,20260702,65,"T0_30C_65g"
"74","G","2","747","NIFA_Resazurin_30_T0_02072026_1104_g65","T0","NIFA_Resazurin_30_T0_02072026_1104_g65","G2",2026-07-02 11:04:00,20260702,65,"T0_30C_65g"
"75","G","3","764","NIFA_Resazurin_30_T0_02072026_1104_g65","T0","NIFA_Resazurin_30_T0_02072026_1104_g65","G3",2026-07-02 11:04:00,20260702,65,"T0_30C_65g"
"76","G","4","740","NIFA_Resazurin_30_T0_02072026_1104_g65","T0","NIFA_Resazurin_30_T0_02072026_1104_g65","G4",2026-07-02 11:04:00,20260702,65,"T0_30C_65g"
"77","G","5","754","NIFA_Resazurin_30_T0_02072026_1104_g65","T0","NIFA_Resazurin_30_T0_02072026_1104_g65","G5",2026-07-02 11:04:00,20260702,65,"T0_30C_65g"
"78","G","6","753","NIFA_Resazurin_30_T0_02072026_1104_g65","T0","NIFA_Resazurin_30_T0_02072026_1104_g65","G6",2026-07-02 11:04:00,20260702,65,"T0_30C_65g"
"79","G","7","773","NIFA_Resazurin_30_T0_02072026_1104_g65","T0","NIFA_Resazurin_30_T0_02072026_1104_g65","G7",2026-07-02 11:04:00,20260702,65,"T0_30C_65g"
"80","G","8","793","NIFA_Resazurin_30_T0_02072026_1104_g65","T0","NIFA_Resazurin_30_T0_02072026_1104_g65","G8",2026-07-02 11:04:00,20260702,65,"T0_30C_65g"
"81","G","9","772","NIFA_Resazurin_30_T0_02072026_1104_g65","T0","NIFA_Resazurin_30_T0_02072026_1104_g65","G9",2026-07-02 11:04:00,20260702,65,"T0_30C_65g"
"82","G","10","984","NIFA_Resazurin_30_T0_02072026_1104_g65","T0","NIFA_Resazurin_30_T0_02072026_1104_g65","G10",2026-07-02 11:04:00,20260702,65,"T0_30C_65g"
"83","G","11","779","NIFA_Resazurin_30_T0_02072026_1104_g65","T0","NIFA_Resazurin_30_T0_02072026_1104_g65","G11",2026-07-02 11:04:00,20260702,65,"T0_30C_65g"
"84","G","12","845","NIFA_Resazurin_30_T0_02072026_1104_g65","T0","NIFA_Resazurin_30_T0_02072026_1104_g65","G12",2026-07-02 11:04:00,20260702,65,"T0_30C_65g"
"85","A","1","1289","NIFA_Resazurin_30_T0_02072026_1104_g70","T0","NIFA_Resazurin_30_T0_02072026_1104_g70","A1",2026-07-02 11:04:00,20260702,70,"T0_30C_70g"
"86","A","2","1407","NIFA_Resazurin_30_T0_02072026_1104_g70","T0","NIFA_Resazurin_30_T0_02072026_1104_g70","A2",2026-07-02 11:04:00,20260702,70,"T0_30C_70g"
"87","A","3","1472","NIFA_Resazurin_30_T0_02072026_1104_g70","T0","NIFA_Resazurin_30_T0_02072026_1104_g70","A3",2026-07-02 11:04:00,20260702,70,"T0_30C_70g"
"88","A","4","1304","NIFA_Resazurin_30_T0_02072026_1104_g70","T0","NIFA_Resazurin_30_T0_02072026_1104_g70","A4",2026-07-02 11:04:00,20260702,70,"T0_30C_70g"
"89","A","5","1308","NIFA_Resazurin_30_T0_02072026_1104_g70","T0","NIFA_Resazurin_30_T0_02072026_1104_g70","A5",2026-07-02 11:04:00,20260702,70,"T0_30C_70g"
"90","A","6","1370","NIFA_Resazurin_30_T0_02072026_1104_g70","T0","NIFA_Resazurin_30_T0_02072026_1104_g70","A6",2026-07-02 11:04:00,20260702,70,"T0_30C_70g"
"91","A","7","1251","NIFA_Resazurin_30_T0_02072026_1104_g70","T0","NIFA_Resazurin_30_T0_02072026_1104_g70","A7",2026-07-02 11:04:00,20260702,70,"T0_30C_70g"
"92","A","8","1261","NIFA_Resazurin_30_T0_02072026_1104_g70","T0","NIFA_Resazurin_30_T0_02072026_1104_g70","A8",2026-07-02 11:04:00,20260702,70,"T0_30C_70g"
"93","A","9","1590","NIFA_Resazurin_30_T0_02072026_1104_g70","T0","NIFA_Resazurin_30_T0_02072026_1104_g70","A9",2026-07-02 11:04:00,20260702,70,"T0_30C_70g"
