"","Plate_row","Plate_col","flourescence","filename","timepoint","plate","Well","time","Date","gain"
"62","F","8","405","NIFA_Resazurin_38_T0_20260710_1205_g60","T0","NIFA_Resazurin_38_T0_20260710_1205_g60","F8",NA,20260710,60
"63","F","9","841","NIFA_Resazurin_38_T0_20260710_1205_g60","T0","NIFA_Resazurin_38_T0_20260710_1205_g60","F9",NA,20260710,60
"64","F","10","559","NIFA_Resazurin_38_T0_20260710_1205_g60","T0","NIFA_Resazurin_38_T0_20260710_1205_g60","F10",NA,20260710,60
"65","F","11","497","NIFA_Resazurin_38_T0_20260710_1205_g60","T0","NIFA_Resazurin_38_T0_20260710_1205_g60","F11",NA,20260710,60
"66","F","12","485","NIFA_Resazurin_38_T0_20260710_1205_g60","T0","NIFA_Resazurin_38_T0_20260710_1205_g60","F12",NA,20260710,60
"67","G","1","413","NIFA_Resazurin_38_T0_20260710_1205_g60","T0","NIFA_Resazurin_38_T0_20260710_1205_g60","G1",NA,20260710,60
"68","G","2","399","NIFA_Resazurin_38_T0_20260710_1205_g60","T0","NIFA_Resazurin_38_T0_20260710_1205_g60","G2",NA,20260710,60
"69","G","3","383","NIFA_Resazurin_38_T0_20260710_1205_g60","T0","NIFA_Resazurin_38_T0_20260710_1205_g60","G3",NA,20260710,60
"70","G","4","385","NIFA_Resazurin_38_T0_20260710_1205_g60","T0","NIFA_Resazurin_38_T0_20260710_1205_g60","G4",NA,20260710,60
"71","G","5","375","NIFA_Resazurin_38_T0_20260710_1205_g60","T0","NIFA_Resazurin_38_T0_20260710_1205_g60","G5",NA,20260710,60
"72","G","6","362","NIFA_Resazurin_38_T0_20260710_1205_g60","T0","NIFA_Resazurin_38_T0_20260710_1205_g60","G6",NA,20260710,60
"73","G","7","419","NIFA_Resazurin_38_T0_20260710_1205_g60","T0","NIFA_Resazurin_38_T0_20260710_1205_g60","G7",NA,20260710,60
"74","G","8","429","NIFA_Resazurin_38_T0_20260710_1205_g60","T0","NIFA_Resazurin_38_T0_20260710_1205_g60","G8",NA,20260710,60
"75","G","9","389","NIFA_Resazurin_38_T0_20260710_1205_g60","T0","NIFA_Resazurin_38_T0_20260710_1205_g60","G9",NA,20260710,60
"76","G","10","408","NIFA_Resazurin_38_T0_20260710_1205_g60","T0","NIFA_Resazurin_38_T0_20260710_1205_g60","G10",NA,20260710,60
"77","G","11","379","NIFA_Resazurin_38_T0_20260710_1205_g60","T0","NIFA_Resazurin_38_T0_20260710_1205_g60","G11",NA,20260710,60
"78","G","12","385","NIFA_Resazurin_38_T0_20260710_1205_g60","T0","NIFA_Resazurin_38_T0_20260710_1205_g60","G12",NA,20260710,60
